,0,1,2,3,4,5,6,7,8,9,10
0,0.015294329253703384,0.3564618793503035,0.6425843972246533,0.0009537234250429831,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.05362546370942184,0.18281773611849095,0.658422388423824,0.15764228243843892,0.0011175930192464504,0.0,0.0,0.0,0.0,0.0,0.0
2,0.08780196880743518,0.0004439124411901802,0.09644413924759396,0.6202399356884798,0.2817969126550654,0.0010750999676703375,0.0,0.0,0.0,0.0,0.0
3,0.1329778963486665,0.0,0.0001647702496588979,0.18609732164574655,0.6194690037484837,0.19336029955183578,0.0009086048042752736,0.0,0.0,0.0,0.0
4,0.2171234352765489,0.0,0.0,0.0005924419804190793,0.11847429378041566,0.677140584588608,0.2033423702371625,0.0004503094133944837,0.0,0.0,0.0
5,0.20671836376554487,0.0,0.0,0.0,0.0003707170202056333,0.2137613185653325,0.632105000274954,0.15359670022522162,0.00016626391428645735,0.0,0.0
6,0.17214171440461173,0.0,0.0,0.0,0.0,0.0006220502975422785,0.18523154331126646,0.676875192086662,0.13707966357332374,0.00019155073120569923,0.0
7,0.0729409120683691,0.0,0.0,0.0,0.0,0.0,0.001057379803344471,0.3264309241028295,0.5920884299935011,0.08005153324540543,0.000371732854919696
8,0.03377223869210479,0.0,0.0,0.0,0.0,0.0,0.0,0.0017800496575364122,0.17229622715206713,0.6817468433186257,0.14417687987177083
9,0.007603677673593845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030681484913585837,0.641030573238466,0.3559012782701757
